212.11,173.83,482.57,184.18,341.08,490.48,54.5,78.11,1104.09,69.52,547.7,32.7,168.62,120.56,359.43,1137.11,656.42,297.68
212.11,174.79,483.54,184.18,341.83,490.48,54.5,78.61,1104.09,69.52,547.7,32.7,169.41,120.56,359.43,1137.11,655.77,297.68
212.11,173.83,483.54,184.18,341.08,489.78,54.5,78.61,1097.49,69.52,545.63,32.7,168.62,119.71,359.43,1140.45,657.07,297.68
212.95,174.79,483.54,184.18,341.08,489.78,54.5,78.61,1105.18,69.52,547.7,32.7,169.41,120.56,360.31,1138.22,657.71,297.68
213.79,174.79,483.54,184.18,341.08,489.08,54.5,78.61,1101.89,70.35,546.66,32.7,168.62,119.71,359.43,1138.22,657.71,298.64
213.79,174.79,483.54,184.18,341.08,489.78,55.02,78.61,1100.79,69.94,547.7,32.7,168.62,120.56,360.31,1141.56,659.65,298.64
212.95,174.79,483.54,185.05,341.08,490.48,54.5,78.61,1104.09,69.52,547.7,32.7,168.62,120.56,360.31,1141.56,658.36,298.64
212.95,173.83,483.54,184.18,341.08,489.78,54.5,78.61,1100.79,69.52,546.66,32.7,168.62,119.71,360.31,1141.56,658.36,298.64
212.95,173.83,482.57,184.18,341.08,489.08,54.5,78.11,1100.79,69.52,546.66,32.7,168.62,119.71,359.43,1140.45,657.07,297.68
212.11,173.83,482.57,184.18,340.33,487.69,54.5,78.11,1094.2,69.52,544.59,32.7,168.62,119.71,359.43,1141.56,656.42,298.64
213.79,173.83,483.54,184.18,340.33,486.99,54.5,78.61,1098.59,69.94,545.63,32.7,168.62,119.71,360.31,1140.45,658.36,298.64
213.79,173.83,482.57,184.18,339.58,486.99,54.5,78.61,1093.1,69.94,544.59,32.7,167.84,119.71,360.31,1142.67,659.01,299.6
214.63,174.79,483.54,184.18,340.33,487.69,54.5,78.61,1098.59,69.94,545.63,32.7,168.62,119.71,359.43,1141.56,658.36,298.64
213.79,173.83,482.57,184.18,340.33,488.38,54.5,78.11,1092,69.52,544.59,32.7,167.84,119.71,359.43,1141.56,657.07,298.64
212.95,174.79,482.57,184.18,341.08,489.08,54.5,78.11,1096.4,69.52,545.63,32.7,168.62,119.71,359.43,1139.33,657.07,297.68
212.11,173.83,482.57,184.18,340.33,486.99,54.5,78.11,1092,69.52,544.59,32.7,167.84,119.71,358.56,1139.33,657.07,297.68
212.11,173.83,482.57,184.18,340.33,487.69,54.5,78.11,1095.3,69.52,545.63,32.7,168.62,119.71,358.56,1137.11,655.77,297.68
